Student_ID,Name,Gender,Age,Education_Level,Employment_Status,City,Device_Type,Internet_Connection_Quality,Course_ID,Course_Name,Category,Course_Level,Course_Duration_Days,Instructor_Rating,Login_Frequency,Average_Session_Duration_Min,Video_Completion_Rate,Discussion_Participation,Time_Spent_Hours,Days_Since_Last_Login,Notifications_Checked,Peer_Interaction_Score,Assignments_Submitted,Assignments_Missed,Quiz_Attempts,Quiz_Score_Avg,Project_Grade,Progress_Percentage,Rewatch_Count,Payment_Mode,Fee_Paid,Discount_Used,Payment_Amount,App_Usage_Percentage,Reminder_Emails_Clicked,Support_Tickets_Raised,Satisfaction_Rating,target,Enrollment_Month
STU100051,Vihaan Patel,Female,23,Bachelor,Employed,Chennai,Laptop,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,6,39,47.8,2,0.5,2,1,8.0,4,6,5,62.6,83.2,44.9,6,Debit Card,Yes,No,6067,65,3,0,3.0,0,2
STU100052,Rohan Singh,Female,26,Bachelor,Student,Pune,Laptop,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,8,27,61.9,3,7.5,1,3,3.0,5,5,2,66.4,93.0,56.3,2,Debit Card,Yes,No,3242,67,2,0,4.4,0,3
STU100053,Isha Verma,Male,32,Master,Unemployed,Ahmedabad,Mobile,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,4,31,85.5,1,7.6,8,5,7.7,5,5,4,89.7,71.0,63.5,2,UPI,Yes,No,3229,42,4,0,3.8,1,1
STU100054,Kavya Desai,Male,31,Master,Employed,Nagpur,Mobile,Low,C107,Statistics for Data Science,Math,Intermediate,50,4.2,3,46,57.2,1,7.4,7,3,5.2,4,6,2,69.6,38.3,45.9,2,Free,No,Yes,0,74,2,0,3.3,0,1
STU100055,Vivaan Iyer,Female,17,Bachelor,Employed,Surat,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,5,35,71.9,0,0.5,5,9,7.0,5,5,2,55.7,67.8,58.6,2,Free,No,No,0,82,3,1,5.0,0,1
STU100056,Rohan Verma,Male,22,Bachelor,Student,Chennai,Mobile,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,3,32,88.3,1,0.5,6,6,10.0,6,4,7,92.9,69.5,70.4,2,Free,No,No,0,54,5,1,3.5,1,5
STU100057,Priya Bose,Male,26,Diploma,Student,Mumbai,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,6,41,77.7,5,1.3,6,7,5.3,7,3,5,84.8,72.2,72.8,2,Debit Card,Yes,No,4410,73,1,1,4.7,0,10
STU100058,Priya Kumar,Female,32,Bachelor,Student,Bhopal,Laptop,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,3,45,62.0,1,7.0,5,5,4.1,4,6,1,63.9,93.6,50.4,2,UPI,Yes,No,4485,62,0,2,5.0,0,1
STU100059,Ananya Mehta,Female,19,Bachelor,Employed,Indore,Laptop,Medium,C108,Excel for Business,Business,Beginner,25,4.1,8,36,76.0,1,0.5,2,5,6.7,4,6,6,67.2,50.3,53.1,2,Debit Card,Yes,No,3355,50,3,0,3.4,1,5
STU100060,Meera Verma,Male,24,Bachelor,Student,Pune,Laptop,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,9,29,56.0,2,7.4,2,2,7.4,6,4,1,94.4,81.5,59.7,1,Free,No,No,0,98,7,1,4.7,0,12
STU100061,Nikhil Nair,Female,28,Bachelor,Self-Employed,Surat,Tablet,Medium,C101,Python Basics,Programming,Beginner,45,4.6,4,48,38.3,3,2.4,2,3,4.8,4,6,1,87.4,68.4,40.8,5,Credit Card,Yes,Yes,3664,90,2,1,3.3,0,9
STU100062,Vivaan Patel,Female,27,Bachelor,Employed,Jaipur,Laptop,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,6,38,57.1,1,3.2,20,5,5.3,5,5,2,67.3,69.9,53.5,2,UPI,Yes,No,3240,80,2,0,4.8,1,4
STU100063,Sai Patel,Male,25,Bachelor,Employed,Surat,Laptop,Low,C101,Python Basics,Programming,Beginner,45,4.6,3,16,71.2,1,0.5,4,8,3.4,4,6,5,61.6,54.7,51.6,1,UPI,Yes,No,3974,25,2,1,2.4,0,4
STU100064,Aditya Bhardwaj,Male,18,Bachelor,Student,Delhi,Mobile,High,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,6,48,56.7,3,0.6,1,3,7.1,5,5,3,80.0,82.9,54.0,0,UPI,Yes,No,6159,69,4,1,3.8,0,6
STU100065,Priya Sharma,Male,26,Bachelor,Unemployed,Bhopal,Mobile,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,2,8,94.2,1,0.5,7,2,4.6,5,5,4,80.2,50.5,65.5,0,Free,No,No,0,60,1,1,4.0,0,5
STU100066,Sakshi Patel,Male,35,Bachelor,Employed,Jaipur,Laptop,High,C101,Python Basics,Programming,Beginner,45,4.6,6,46,84.8,3,3.5,1,3,7.3,7,2,5,62.7,78.5,75.6,3,UPI,Yes,No,4388,100,5,1,3.9,1,8
STU100067,Nikhil Bhardwaj,Male,27,Bachelor,Employed,Surat,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,46,55.0,5,9.3,0,5,7.1,4,6,3,70.2,47.2,45.6,6,UPI,Yes,Yes,4413,83,3,1,4.7,1,7
STU100068,Krishna Iyer,Male,32,Bachelor,Student,Indore,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,38,75.4,3,0.5,0,6,4.9,5,4,2,45.8,84.2,60.6,4,UPI,Yes,No,4913,91,0,0,5.0,0,7
STU100069,Priya Verma,Male,23,Bachelor,Student,Lucknow,Laptop,Medium,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,9,19,86.3,3,3.6,10,7,9.0,5,5,1,73.9,76.4,64.0,5,Free,No,No,0,100,2,0,5.0,1,1
STU100070,Pooja Bose,Female,29,Bachelor,Student,Vadodara,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,3,38,53.3,0,0.5,11,3,5.6,5,5,2,67.8,86.0,53.0,0,Debit Card,Yes,No,3557,35,3,1,4.6,0,10
STU100071,Kavya Bhardwaj,Male,24,Bachelor,Employed,Jaipur,Laptop,Low,C108,Excel for Business,Business,Beginner,25,4.1,3,22,5.6,1,7.7,11,1,6.0,3,7,2,63.0,52.9,22.6,1,NetBanking,Yes,No,3500,56,0,1,4.4,0,12
STU100072,Rahul Singh,Female,29,Bachelor,Student,Surat,Laptop,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,3,40,51.2,1,0.5,4,7,9.5,5,5,1,58.2,54.5,50.6,3,UPI,Yes,No,5173,57,4,1,4.8,0,10
STU100073,Aditya Bose,Male,30,Bachelor,Employed,Pune,Mobile,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,2,22,28.6,2,0.5,0,4,5.4,5,4,2,70.7,100.0,45.0,0,UPI,Yes,No,5567,63,1,0,4.7,0,3
STU100074,Kavya Shah,Female,27,Bachelor,Employed,Surat,Laptop,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,24,33.2,1,2.8,0,4,7.8,4,6,1,89.3,72.3,39.2,3,Debit Card,Yes,No,6639,42,1,0,3.8,0,7
STU100075,Ritika Patel,Other,17,Bachelor,Employed,Lucknow,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,4,28,49.0,6,12.3,10,4,4.8,5,5,1,80.6,59.6,50.1,4,Debit Card,Yes,No,4277,90,6,0,3.1,1,8
STU100076,Vihaan Bose,Female,36,HighSchool,Student,Bengaluru,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,44,81.3,0,4.1,1,5,1.7,6,4,4,74.7,66.8,67.8,1,NetBanking,Yes,No,4901,49,1,1,3.8,1,2
STU100077,Rahul Verma,Female,21,Bachelor,Student,Ahmedabad,Laptop,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,27,83.1,4,13.6,9,7,5.7,8,2,7,68.5,83.2,81.2,1,NetBanking,Yes,No,4554,87,2,0,4.4,1,5
STU100078,Pooja Singh,Male,28,Master,Employed,Lucknow,Laptop,Medium,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,6,49,49.9,3,1.9,3,3,7.0,8,2,4,66.5,70.4,69.0,0,Debit Card,Yes,No,4302,81,0,0,4.3,1,7
STU100079,Ritika Reddy,Female,29,Master,Student,Ahmedabad,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,5,31,96.4,3,0.8,3,3,5.6,5,5,2,73.6,54.6,66.5,3,UPI,Yes,No,3152,75,2,2,3.7,0,12
STU100080,Aditya Iyer,Male,32,Bachelor,Employed,Chennai,Laptop,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,4,30,98.1,2,8.8,3,5,4.0,5,5,2,87.8,59.0,67.3,3,Free,No,No,0,63,1,0,5.0,1,12
STU100081,Aarav Joshi,Male,41,Bachelor,Student,Vadodara,Laptop,Low,C101,Python Basics,Programming,Beginner,45,4.6,4,36,44.0,2,3.5,12,7,8.6,4,6,5,56.4,70.7,42.9,3,NetBanking,Yes,No,4503,100,5,1,3.0,1,7
STU100082,Sai Nair,Male,24,Diploma,Employed,Kolkata,Mobile,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,27,64.0,5,8.2,4,6,8.3,5,5,7,73.5,76.8,56.2,1,Debit Card,Yes,Yes,2825,89,5,2,3.8,0,12
STU100083,Rahul Patel,Female,17,Diploma,Student,Delhi,Laptop,High,C101,Python Basics,Programming,Beginner,45,4.6,8,26,66.4,2,2.4,10,7,10.0,6,4,6,84.7,84.5,63.5,1,Free,No,Yes,0,75,2,1,4.6,1,9
STU100084,Arjun Gupta,Male,34,Bachelor,Self-Employed,Mumbai,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,6,14,77.6,2,3.9,3,7,8.7,3,7,1,58.5,64.3,48.4,0,Scholarship,No,No,1728,73,2,1,4.0,0,6
STU100085,Rahul Verma,Male,17,HighSchool,Self-Employed,Chennai,Mobile,Low,C101,Python Basics,Programming,Beginner,45,4.6,6,31,39.1,6,0.5,0,5,9.2,6,4,1,78.5,50.8,52.2,2,Free,No,No,0,28,2,0,4.2,1,8
STU100086,Sneha Bose,Female,18,Diploma,Employed,Bhopal,Mobile,Low,C107,Statistics for Data Science,Math,Intermediate,50,4.2,3,45,54.6,6,0.5,3,4,4.0,4,6,4,67.6,54.1,45.8,1,UPI,Yes,No,4908,59,1,1,4.0,0,11
STU100087,Sneha Singh,Male,27,Master,Student,Lucknow,Laptop,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,44,93.6,3,0.5,1,8,5.7,8,2,2,68.0,93.5,85.4,1,UPI,Yes,No,4580,65,2,0,3.8,0,1
STU100088,Sneha Desai,Male,21,Master,Student,Surat,Laptop,Medium,C108,Excel for Business,Business,Beginner,25,4.1,4,46,52.9,5,1.9,1,10,3.3,4,6,9,74.9,62.9,45.7,4,UPI,Yes,No,3279,57,4,1,3.5,0,12
STU100089,Sakshi Nair,Female,25,Bachelor,Student,Bengaluru,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,5,42,65.6,2,8.5,5,8,5.7,6,4,4,77.2,69.8,62.4,7,UPI,Yes,Yes,2887,64,3,0,3.8,0,6
STU100090,Sai Desai,Female,26,Master,Employed,Vadodara,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,53,81.3,3,0.5,15,5,8.3,6,3,0,97.6,78.3,68.4,1,Scholarship,No,No,1631,69,1,0,3.1,1,12
STU100091,Aarav Verma,Female,29,Master,Student,Indore,Mobile,Low,C108,Excel for Business,Business,Beginner,25,4.1,5,27,95.2,1,0.5,12,10,5.6,4,5,1,74.1,78.2,61.2,2,Free,No,No,0,48,0,1,4.2,0,12
STU100092,Rohan Kumar,Female,27,Bachelor,Student,Bengaluru,Mobile,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,5,35,66.7,2,2.1,1,4,10.0,2,8,3,74.0,74.1,39.1,0,Credit Card,Yes,No,4846,73,3,3,3.7,1,2
STU100093,Priya Shah,Male,24,Bachelor,Employed,Mumbai,Laptop,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,3,43,73.8,5,0.5,7,5,4.3,6,4,3,86.7,73.3,65.5,2,Credit Card,Yes,No,4419,65,2,0,4.3,1,5
STU100094,Krishna Shah,Female,28,Bachelor,Employed,Bhopal,Laptop,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,4,5,38.7,2,1.4,0,6,8.2,2,8,3,72.5,59.3,28.5,2,UPI,Yes,No,3472,45,1,0,4.8,0,8
STU100095,Rohan Singh,Female,28,Bachelor,Student,Mumbai,Laptop,Low,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,5,37,68.0,1,0.5,2,3,4.4,3,7,3,71.5,74.9,45.5,2,Free,No,No,0,69,0,0,4.6,0,11
